text,likes,replies
This comment section is full of ziobots,0,0
fox propaganda network!,1,0
"Pam, where's the Trump-Epstein Client List?",0,0
וא שלום ו ביי,0,0
Un laiers,0,0
Vu likya liar,0,0
He is a LIAR OK OK OK,0,0
I got taco bell farts,0,0
Trump supporters.,0,0
,0,0
Free Palestine free Gaza,0,0
Liar,1,0
"You guy's do know that people have access to the internet, right? Facts are everywhere.",0,0
- Epstein List -> ️🇮🇱️🇮🇱️‍️‍🇮🇱🇮🇱️️‍🇮🇱🇮🇱,0,1
Us is so evil,0,2
Fake news,0,0
