text,likes,replies
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar Allahuakbar,0,0
What happened to international law? Shame on all,0,0
God bless Netanyahu,4,0
Thank you Princess Kate Bolduan,1,0
"I think it’s incredibly powerful that so many people in Israel are standing up for the people of Gaza even when it means challenging their own government. It takes courage, heart, and deep humanity to speak out when you know the official narrative is wrong. That’s what being on the right side of history looks like.",0,0
여기는 시위중이군,4,0
Stop the hypocrisy and get it done once and for all,4,1
Lebensraum,0,0
"Many little kids in the comment section, paid (guess by whom) to utter childisch one liners.",1,0
'A World Awash In Fascism And Fear'-- Lawrence Ferlinghetti,1,0
Gaza news,0,0
You people are lost you should be thanking israel,0,0
I LOVE WOMAN ISRAEL!,0,0
고마 싸워라,3,0
I’m one proud Jew today,4,1
Strange how everyone is upset about this except the Muslims for trump… was it ever about stopping the war because they have been awfully quiet these past few months,0,0
"Isreal needs to rebuild Gasa. If a country destroys another country, then they need to rebuild that country.",0,0
Thank you…,1,0
"What will happen to the remaining citizens in Gaza? Are they all just going to be massacred? My God, this world.",0,0
Oooof not a good look Israel.,0,0
That is the Only Way to End that war. I Wish we had that goverment in Colombia. And in The Usa Too.,3,1
Part of the plan.,0,0
Mr. Nasir Citizen United Stated of America. CNN world news.08/08/2025. Thank’s.,2,0
가자지지 이스라엘 지지 시위가 동시에 열리는군,1,0
God Bless and Protect Israel 🇮🇱 from all it’s enemies,0,0
Isarel ගත්තු ඉතා දරුනු තිරනයක් I am sorry bro,0,0
,0,0
Free free Palestine 🇵🇸,0,1
Natneyaahu hesth. Babe kilaer,0,0
